question,options,correctOptionIndex,explanation
"What does 'Desno za drugim semaforjem.' mean in English?","Right after the second traffic light.;Left before the traffic light.;Straight ahead at the traffic light.;Turn around at the traffic light.",0,"This phrase translates to 'Right after the second traffic light.' in English, giving directions."
"How do you ask for a store's opening hours in Slovenian?","Kdaj je trgovina odprta?;Kje je trgovina?;Koliko stane v trgovini?;Zakaj je trgovina zaprta?",0,"'Kdaj je trgovina odprta?' means 'When is the store open?' which is how you'd ask about opening hours."
"Complete the sentence: 'Prosim, eno _____ pivo.'","svetlo;temno;malo;veliko",0,"'Prosim, eno svetlo pivo.' means 'One light beer, please.' 'Svetlo' means light (in color) for beer."
"How do you say it's 6:30 in Slovenian?","Pol sedmih.;Šest in trideset.;Trideset čez šest.;Pol šestih.",0,"'Pol sedmih' is the common way to say 6:30 in Slovenian, literally meaning 'half of seven'."
"What does 'Ali imate drobiž?' mean in English?","Do you have change?;Do you have a bag?;Do you have a receipt?;Do you have a discount?",0,"'Ali imate drobiž?' translates to 'Do you have change?' in English, used when needing smaller denominations."
"How do you ask for directions to the nearest ATM in Slovenian?","Kje je najbližji bankomat?;Kdaj deluje bankomat?;Koliko lahko dvignem na bankomatu?;Ali je ta bankomat brezplačen?",0,"'Kje je najbližji bankomat?' means 'Where is the nearest ATM?' which is how you'd ask for directions to an ATM."
"Complete the sentence: 'Ali lahko dobim _____ kozarec vode?'","en;eno;ena;enega",0,"'Ali lahko dobim en kozarec vode?' means 'Can I have a glass of water?' 'En' is the correct form for masculine nouns."
"How do you ask if the price includes VAT in Slovenian?","Ali je DDV vključen v ceno?;Ali lahko plačam z gotovino?;Ali imate popust?;Ali je to zadnja cena?",0,"'Ali je DDV vključen v ceno?' means 'Is VAT included in the price?' which is how you'd ask about tax inclusion."
"What does 'Gremo na kavo.' mean in English?","Let's go for coffee.;We need more coffee.;Coffee is expensive.;Coffee is closed.",0,"'Gremo na kavo.' translates to 'Let's go for coffee.' in English, suggesting to go have coffee together."
"How do you say it's 9:45 in Slovenian?","Petnajst do desetih.;Devet in petinštirideset.;Tri četrt na deset.;Petnajst čez devet.",2,"'Tri četrt na deset' is a common way to say 9:45 in Slovenian, literally meaning 'three quarters to ten'."
"Complete the sentence: 'Ali lahko plačam z _____ evri?'","gotovino;kartico;čeki;menjalnico",0,"'Ali lahko plačam z gotovino evri?' means 'Can I pay with cash euros?' 'Gotovino' means cash."
"How do you ask for a meal recommendation in Slovenian?","Kaj priporočate?;Kaj je najdražje?;Kaj je najbolj zdravo?;Kaj je novo na meniju?",0,"'Kaj priporočate?' means 'What do you recommend?' which is how you'd ask for a meal recommendation."
"What does 'To je predrago.' mean in English?","That's too expensive.;That's very cheap.;That's a good deal.;That's the right price.",0,"'To je predrago.' translates to 'That's too expensive.' in English, used to indicate something costs too much."
"How do you ask for directions to a public restroom in Slovenian?","Kje je javno stranišče?;Kdaj je odprto stranišče?;Koliko stane uporaba stranišča?;Ali je stranišče čisto?",0,"'Kje je javno stranišče?' means 'Where is the public restroom?' which is how you'd ask for directions to a restroom."
"Complete the sentence: 'Prosim, _____ račun.'","en;eno;ena;enega",0,"'Prosim, en račun.' means 'The bill, please.' 'En' is the correct form for masculine nouns like 'račun' (bill)."
"How do you say it's 12:00 noon in Slovenian?","Polnoč.;Poldne.;Dvanajst.;Opoldan.",1,"'Poldne' is the word for 12:00 noon in Slovenian."
"What does 'Ali imate mizo za štiri?' mean in English?","Do you have a table for four?;Can we order four meals?;Are there four people in your party?;Do you have four menus?",0,"'Ali imate mizo za štiri?' translates to 'Do you have a table for four?' in English, used when requesting a table at a restaurant."
"How do you ask for a discount in Slovenian?","Ali imate kakšen popust?;Ali je to polna cena?;Ali lahko dobim več?;Ali je to zadnja cena?",0,"'Ali imate kakšen popust?' means 'Do you have any discount?' which is how you'd ask about possible discounts."
