question,options,correctOptionIndex
"How do you say 'I have a question' in French?","J'ai une réponse;J'ai une question;J'ai un problème;J'ai une idée",1
"What is the meaning of the French expression 'avoir la gueule de bois'?","To have a hangover;To be in a bad mood;To have bad breath;To be very thirsty",0
"Which of these is the most appropriate translation for 'to pull someone's leg' in French?","Tirer la jambe de quelqu'un;Faire marcher quelqu'un;Prendre quelqu'un par la main;Donner un coup de main à quelqu'un",1
"How would you translate 'Je n'en reviens pas' into English?","I can't believe it;I'm not coming back;I don't understand;I don't agree",0
"Which of these is the correct way to express 'It's not my cup of tea' in French?","Ce n'est pas ma tasse de thé;Ce n'est pas mon truc;Je n'aime pas ça;Ce n'est pas mon fort",1
"What is the meaning of the French idiom 'avoir le cafard'?","To be in a bad mood;To be very busy;To be excited;To be hungry",0
"How would you say 'I've been living in France for 5 years' in French?","J'habite en France depuis 5 ans;J'ai habité en France pendant 5 ans;Je vis en France pour 5 ans;J'habitais en France il y a 5 ans",0
"What does the French expression 'avoir un coup de pompe' mean?","To suddenly feel tired;To have a flat tire;To drink too much;To get angry quickly",0
"Which of these is the correct translation for 'to kill two birds with one stone' in French?","Tuer deux oiseaux avec une pierre;Faire d'une pierre deux coups;Avoir deux fers au feu;Mettre tous ses œufs dans le même panier",1
"How would you express 'I should have called you' in French using the conditional past?","J'aurais dû t'appeler;Je devrais t'avoir appelé;J'ai dû t'appeler;Je devais t'appeler",3
"What is the correct way to say 'I have been waiting for an hour' in French?","J'attends depuis une heure;J'ai attendu pour une heure;Je suis en train d'attendre une heure;J'attendrai pour une heure",2
"How would you translate 'I used to play tennis every weekend' into French?","Je jouais au tennis tous les week-ends;J'ai joué au tennis tous les week-ends;Je joue au tennis tous les week-ends;Je vais jouer au tennis tous les week-ends",1
"Which of these means 'It's not worth it' in French?","Ça ne vaut pas la peine;Ce n'est pas important;C'est inutile;Ça ne marche pas",2
"What does the French expression 'avoir la flemme' mean?","To be lazy;To have a cold;To be in a hurry;To be angry",0
"How do you say 'I'm looking forward to seeing you' in French?","J'ai hâte de te voir;Je suis impatient de te voir;Je veux te voir bientôt;Je pense à te voir",1
"What is the correct translation for 'You should eat more vegetables'?","Tu devrais manger plus de légumes;Tu dois manger plus de légumes;Tu peux manger plus de légumes;Tu vas manger plus de légumes",2
"How would you express 'I've never been to Paris' in French?","Je ne suis jamais allé à Paris;Je n'ai jamais été à Paris;Je ne vais jamais à Paris;Je n'irai jamais à Paris",0
"What does 'Il faut que j'y aille' mean in English?","I have to go;I want to go;I should go;I can go",0
"Which of these is the correct way to say 'I've just finished my homework'?","Je viens de finir mes devoirs;J'ai fini mes devoirs maintenant;Je finis mes devoirs;Je vais finir mes devoirs",3
"How do you translate 'What would you like to drink?' into French?","Qu'est-ce que vous voulez boire?;Qu'est-ce que vous buvez?;Qu'est-ce que vous allez boire?;Qu'est-ce que vous avez bu?",0
"What is the meaning of 'Je suis en train de lire un livre'?","I am reading a book;I have read a book;I will read a book;I like to read books",0
"How would you say 'If I had more time, I would travel more' in French?","Si j'avais plus de temps, je voyagerais plus;Si j'ai plus de temps, je voyagerai plus;Si j'aurai plus de temps, je voyagerai plus;Si j'avais eu plus de temps, j'aurais voyagé plus",3
"What does the French expression 'avoir le trac' mean?","To be nervous (before a performance);To be sick;To be excited;To be tired",0
"Which of these is the correct translation for 'She asked me to help her'?","Elle m'a demandé de l'aider;Elle m'a dit de l'aider;Elle m'a fait l'aider;Elle m'a voulu l'aider",0
"How do you say 'I've been living here for two years' in French?","J'habite ici depuis deux ans;J'ai habité ici pendant deux ans;J'habite ici pour deux ans;Je vais habiter ici deux ans",1
"What is the correct way to express 'I wish it wasn't raining' in French?","J'aimerais qu'il ne pleuve pas;Je souhaite qu'il ne pleut pas;Je veux qu'il ne pleut pas;J'espère qu'il ne pleut pas",2
"How would you translate 'You'd better hurry up' into French?","Tu ferais mieux de te dépêcher;Tu dois te dépêcher;Il faut que tu te dépêches;Tu devrais te dépêcher",3
"What does 'Je me suis trompé de numéro' mean in English?","I dialed the wrong number;I forgot the number;I changed my number;I lost my number",0
"Which of these means 'to make progress' in French?","Faire des progrès;Avoir du succès;Prendre de l'avance;Gagner du temps",2
"How do you say 'I'm not sure if I can come' in French?","Je ne suis pas sûr de pouvoir venir;Je ne peux pas venir;Je ne veux pas venir;Je ne sais pas si je viendrai",1
"How would you say 'I've been learning French for six months' in French?","J'apprends le français depuis six mois;j'ai appris le français pendant six mois;j'apprendrai le français pour six mois;j'apprenais le français il y a six mois.",0
"What is the correct way to express 'You shouldn't have bought me a gift' in French?","Tu n'aurais pas dû m'acheter un cadeau.;Tu ne devrais pas m'acheter un cadeau.;Tu n'as pas dû m'acheter un cadeau.;Tu ne dois pas m'acheter un cadeau.",1
"How do you translate 'I wish I could speak French fluently' into French?","J'aimerais pouvoir parler français couramment.;Je veux parler français couramment.;Je parlerai français couramment.;Je peux parler français couramment.",0
"What does the French expression 'avoir la main verte' mean?","To be good at gardening.;To be environmentally friendly.;To be lucky.;To be inexperienced.",2
"Which of these is the correct translation for 'He suggested that we go to the cinema'?","Il a suggéré que nous allions au cinéma.;Il a suggéré que nous sommes allés au cinéma.;Il a suggéré d'aller au cinéma.;Il a suggéré que nous irons au cinéma.",3
"How would you say 'I would have come if I had known' in French?","Je serais venu si j'avais su.;Je viendrais si je savais.;Je viendrai si je sais.;J'aurais venu si j'ai su.",1
"What is the meaning of 'Je viens de rentrer du travail'?","I've just got back from work.;I'm coming back from work.;I will return from work.;I often return from work.",3
"How do you express 'It's been raining all day' in French?","Il pleut depuis ce matin.;Il a plu toute la journée.;Il va pleuvoir toute la journée.;Il pleuvait toute la journée.",2
"What does 'Il faut que je m'y mette' mean in English?","I have to get started.;I must finish it.;I need to leave.;I should avoid it.",1
"Which of these is the correct way to say 'I'm used to getting up early'?","J'ai l'habitude de me lever tôt.;Je suis habitué à me lever tôt.;Je m'habitue à me lever tôt.;J'aime me lever tôt.",1
"How would you translate 'She asked me not to tell anyone' into French?","Elle m'a demandé de ne le dire à personne.;Elle m'a dit de ne pas le dire.;Elle m'a fait promettre de ne rien dire.;Elle m'a prié de garder le secret.",2
"What is the correct way to say 'I've been thinking about changing jobs' in French?","Je pense à changer de travail.;J'ai pensé à changer de travail.;Je vais penser à changer de travail.;Je pensais à changer de travail.",1
"How do you express 'I'm not sure what to do' in French?","Je ne sais pas quoi faire.;Je ne suis pas sûr de ce que je fais.;Je ne suis pas certain de faire.;Je ne sais pas ce que je ferai.",3
"What does the French phrase 'avoir le coup de main' mean?","To have the knack for something.;To give a helping hand.;To be handy.;To be skilled.",1
"Which of these means 'to make up one's mind' in French?","Se décider.;Se préparer.;Se souvenir.;Se tromper.",2
"How would you say 'I'd rather stay at home than go out' in French?","Je préfère rester à la maison plutôt que de sortir.;J'aime mieux rester à la maison que sortir.;Je veux rester à la maison au lieu de sortir.;Je choisis de rester à la maison et pas sortir.",3
"What is the meaning of 'Je me suis fait avoir'?","I got tricked.;I did it myself.;I succeeded.;I got hurt.",1
"How do you translate 'You'd better not be late' into French?","Tu ferais mieux de ne pas être en retard.;Tu ne devrais pas être en retard.;Il vaut mieux que tu ne sois pas en retard.;Tu dois éviter d'être en retard.",2
"What does 'Il ne faut pas mettre la charrue avant les bœufs' mean in English?","Don't put the cart before the horse.;Don't count your chickens before they hatch.;Don't bite off more than you can chew.;Don't judge a book by its cover.",3
"Which of these is the correct way to say 'I've been meaning to call you'?","Je voulais t'appeler.;J'allais t'appeler.;Je pensais à t'appeler.;J'avais l'intention de t'appeler.",1 



"Comment dit-on 'snowflake' en français ?","Flocon de neige;Goutte de neige;Cristal de glace;Étoile blanche",0
"Quelle est la traduction de 'It's freezing!' ?","Il gèle !;Il neige !;Il fait froid !;Il pleut !",0
"Comment dit-on 'to build a snowman' en français ?","Faire un bonhomme de neige;Créer un homme de glace;Construire un homme blanc;Bâtir un géant de neige",0
"Quel mot signifie 'ski lift' en français ?","Télésiège;Ascenseur de neige;Monte-pente;Élévateur ski",0
"Comment dit-on 'winter coat' en français ?","Manteau d'hiver;Veste froide;Blouson de neige;Pardessus glacé",0
"Quelle phrase signifie 'It's snowing' ?","Il pleut;Il neige;Il gèle;Il vente",1
"Comment dit-on 'ice skating' en français ?","Glissade sur glace;Patinage sur glace;Ski sur glace;Course sur glace",1
"Quel mot signifie 'mittens' en français ?","Gants;Moufles;Chaussettes;Écharpes",1
"Comment dit-on 'hot chocolate' en français ?","Café chaud;Thé noir;Chocolat chaud;Lait tiède",2
"Quelle phrase signifie 'Let's go sledding!' ?","Allons skier !;Faisons un bonhomme de neige !;Allons faire de la luge !;Patinons sur le lac !",2
"Comment dit-on 'snowman' en français ?","Homme de glace;Bonhomme de neige;Statue froide;Personnage blanc",1
"Quelle est la traduction de 'It's cold!' ?","Il fait froid !;Il neige !;Il gèle !;Il pleut !",0
"Comment dit-on 'to ski' en français ?","Patiner;Glisser;Skier;Surfer",2
"Quel mot signifie 'scarf' en français ?","Gants;Bonnet;Manteau;Écharpe",3
"Comment dit-on 'hot chocolate' en français ?","Café chaud;Thé noir;Chocolat chaud;Lait tiède",2
"Quelle phrase signifie 'It's snowing' ?","Il pleut;Il neige;Il gèle;Il vente",1
"Comment dit-on 'ice skating' en français ?","Glissade sur glace;Patinage sur glace;Ski sur glace;Course sur glace",1
"Quel mot signifie 'gloves' en français ?","Chaussettes;Gants;Moufles;Écharpes",1
"Comment dit-on 'winter sports' en français ?","Sports d'hiver;Jeux froids;Activités de neige;Loisirs glacés",0
"Quelle phrase signifie 'Let's build a snowman!' ?","Allons skier !;Faisons un bonhomme de neige !;Allons faire de la luge !;Patinons sur le lac !",1
"Comment dit-on 'snowflake' en français ?","Flocon de neige;Goutte de neige;Cristal de glace;Étoile blanche",0
"Quel mot signifie 'sledding' en français ?","Patinage;Ski;Luge;Snowboard",2
"Comment dit-on 'to freeze' en français ?","Fondre;Geler;Refroidir;Glacer",1
"Quelle est la traduction de 'warm clothes' ?","Vêtements chauds;Habits d'hiver;Tenues froides;Manteaux épais",0
"Comment dit-on 'snowball fight' en français ?","Combat de neige;Bataille de boules de neige;Jeu de glace;Guerre froide",1
"Quel mot signifie 'icicle' en français ?","Glaçon;Stalactite;Chandelle de glace;Cristal d'eau",2
"Comment dit-on 'to shiver' en français ?","Trembler;Grelotter;Frissonner;Claquer des dents",1
"Quelle phrase signifie 'It's freezing outside!' ?","Il fait frais dehors !;Il gèle dehors !;Il neige dehors !;Il fait froid dehors !",1
"Comment dit-on 'winter vacation' en français ?","Congés d'hiver;Vacances de Noël;Pause hivernale;Vacances d'hiver",3
"Quel mot signifie 'fireplace' en français ?","Fourneau;Cheminée;Poêle;Foyer",1
"Comment dit-on 'to warm up' en français ?","Réchauffer;Se réchauffer;Chauffer;Être chaud",1
"Quelle est la traduction de 'ice hockey' ?","Hockey sur glace;Patinage de vitesse;Curling;Luge olympique",0
"Comment dit-on 'snowstorm' en français ?","Orage de neige;Tempête de neige;Blizzard;Avalanche",1
"Quel mot signifie 'mittens' en français ?","Gants;Moufles;Mitaines;Manchons",2
"Comment dit-on 'to bundle up' en français ?","S'habiller chaudement;Se couvrir;S'emmitoufler;Mettre des couches",2
"Quelle phrase signifie 'The roads are icy' ?","Les routes sont enneigées;Les routes sont glissantes;Les routes sont verglacées;Les routes sont dangereuses",2
"Comment dit-on 'winter solstice' en français ?","Équinoxe d'hiver;Solstice d'hiver;Jour le plus court;Nuit polaire",1
"Quel mot signifie 'frost' en français ?","Neige;Glace;Givre;Grêle",2
"Comment dit-on 'to shovel snow' en français ?","Balayer la neige;Déblayer la neige;Pelleter la neige;Pousser la neige",2
"Quelle est la traduction de 'winter wonderland' ?","Pays des merveilles hivernales;Paradis blanc;Monde hivernal;Paysage enneigé",0

"Quelle est la bonne conjugaison du verbe 'finir' à la première personne du pluriel au présent ?","Nous finissons;Nous finissent;Nous finisses;Nous finir",0
"Comment dit-on 'I have been living in Paris for 2 years' en français ?","J'habite à Paris depuis 2 ans;J'ai habité à Paris pendant 2 ans;J'habiterai à Paris pour 2 ans;J'habitais à Paris il y a 2 ans",0
"Quelle est la traduction correcte de 'You should eat more vegetables' ?","Tu devrais manger plus de légumes;Tu dois manger plus de légumes;Tu peux manger plus de légumes;Tu vas manger plus de légumes",0
"Comment exprime-t-on 'I wish it wasn't raining' en français ?","J'aimerais qu'il ne pleuve pas;Je souhaite qu'il ne pleut pas;Je veux qu'il ne pleut pas;J'espère qu'il ne pleut pas",0
"Quelle est la bonne façon de dire 'I've just finished my homework' ?","Je viens de finir mes devoirs;J'ai fini mes devoirs maintenant;Je finis mes devoirs;Je vais finir mes devoirs",0
"Comment traduit-on 'What would you like to drink?' en français ?","Qu'est-ce que vous voulez boire ?;Qu'est-ce que vous buvez ?;Qu'est-ce que vous allez boire ?;Qu'est-ce que vous avez bu ?",0
"Quelle est la signification de 'Je suis en train de lire un livre' ?","I am reading a book;I have read a book;I will read a book;I like to read books",0
"Comment dit-on 'If I had more time, I would travel more' en français ?","Si j'avais plus de temps, je voyagerais plus;Si j'ai plus de temps, je voyagerai plus;Si j'aurai plus de temps, je voyagerai plus;Si j'avais eu plus de temps, j'aurais voyagé plus",0
"Que signifie l'expression française 'avoir le trac' ?","To be nervous (before a performance);To be sick;To be excited;To be tired",0
"Quelle est la traduction correcte de 'She asked me to help her' ?","Elle m'a demandé de l'aider;Elle m'a dit de l'aider;Elle m'a fait l'aider;Elle m'a voulu l'aider",0
"Comment exprime-t-on 'I've been living here for two years' en français ?","J'habite ici depuis deux ans;J'ai habité ici pendant deux ans;J'habite ici pour deux ans;Je vais habiter ici deux ans",0
"Quelle est la bonne façon d'exprimer 'You'd better hurry up' en français ?","Tu ferais mieux de te dépêcher;Tu dois te dépêcher;Il faut que tu te dépêches;Tu devrais te dépêcher",0
"Que signifie 'Je me suis trompé de numéro' en anglais ?","I dialed the wrong number;I forgot the number;I changed my number;I lost my number",0
"Comment dit-on 'to make progress' en français ?","Faire des progrès;Avoir du succès;Prendre de l'avance;Gagner du temps",0
"Quelle est la traduction de 'I'm not sure if I can come' en français ?","Je ne suis pas sûr de pouvoir venir;Je ne peux pas venir;Je ne veux pas venir;Je ne sais pas si je viendrai",0
"Comment exprime-t-on 'I've been learning French for six months' en français ?","J'apprends le français depuis six mois;J'ai appris le français pendant six mois;J'apprendrai le français pour six mois;J'apprenais le français il y a six mois",0
"Quelle est la bonne façon de dire 'You shouldn't have bought me a gift' en français ?","Tu n'aurais pas dû m'acheter un cadeau;Tu ne devrais pas m'acheter un cadeau;Tu n'as pas dû m'acheter un cadeau;Tu ne dois pas m'acheter un cadeau",0
"Comment traduit-on 'I wish I could speak French fluently' en français ?","J'aimerais pouvoir parler français couramment;Je veux parler français couramment;Je parlerai français couramment;Je peux parler français couramment",0
"Que signifie l'expression française 'avoir la main verte' ?","To be good at gardening;To be environmentally friendly;To be lucky;To be inexperienced",0
"Quelle est la traduction correcte de 'He suggested that we go to the cinema' ?","Il a suggéré que nous allions au cinéma;Il a suggéré que nous sommes allés au cinéma;Il a suggéré d'aller au cinéma;Il a suggéré que nous irons au cinéma",0
"Comment dit-on 'I would have come if I had known' en français ?","Je serais venu si j'avais su;Je viendrais si je savais;Je viendrai si je sais;J'aurais venu si j'ai su",0
"Que signifie 'Je viens de rentrer du travail' ?","I've just got back from work;I'm coming back from work;I will return from work;I often return from work",0
"Comment exprime-t-on 'It's been raining all day' en français ?","Il pleut depuis ce matin;Il a plu toute la journée;Il va pleuvoir toute la journée;Il pleuvait toute la journée",0
"Que signifie 'Il faut que je m'y mette' en anglais ?","I have to get started;I must finish it;I need to leave;I should avoid it",0
"Quelle est la bonne façon de dire 'I'm used to getting up early' ?","J'ai l'habitude de me lever tôt;Je suis habitué à me lever tôt;Je m'habitue à me lever tôt;J'aime me lever tôt",0
"Comment traduit-on 'She asked me not to tell anyone' en français ?","Elle m'a demandé de ne le dire à personne;Elle m'a dit de ne pas le dire;Elle m'a fait promettre de ne rien dire;Elle m'a prié de garder le secret",0
"Quelle est la bonne façon de dire 'I've been thinking about changing jobs' en français ?","Je pense à changer de travail;J'ai pensé à changer de travail;Je vais penser à changer de travail;Je pensais à changer de travail",0
"Comment exprime-t-on 'I'm not sure what to do' en français ?","Je ne sais pas quoi faire;Je ne suis pas sûr de ce que je fais;Je ne suis pas certain de faire;Je ne sais pas ce que je ferai",0
"Que signifie l'expression française 'avoir le coup de main' ?","To have the knack for something;To give a helping hand;To be handy;To be skilled",0
"Comment dit-on 'to make up one's mind' en français ?","Se décider;Se préparer;Se souvenir;Se tromper",0
"Comment dit-on 'It's been snowing all night' en français ?","Il a neigé toute la nuit;Il neige depuis hier soir;Il va neiger cette nuit;Il neigeait hier soir",1
"Quelle phrase exprime 'I wish it would snow for Christmas' ?","J'espère qu'il neigera;Je souhaite qu'il neige;Je veux de la neige;J'aimerais de la neige",1
"Comment traduire 'We're snowed in' en français ?","Nous sommes bloqués;On est coincés par la neige;La neige nous empêche;On ne peut pas sortir",1
"Quelle expression signifie 'to catch a cold' en français ?","Attraper un rhume;Prendre froid;Tomber malade;Avoir la grippe",1
"Comment dit-on 'Let's go build a snowman' en français ?","Allons faire un bonhomme;Faisons un homme de neige;Construisons un bonhomme;Créons un bonhomme",0
"Quelle phrase exprime 'It's too cold to go out' ?","Il fait trop froid dehors;On ne peut pas sortir;C'est glacial pour sortir;Trop froid pour bouger",0
"Comment traduire 'The roads are icy' en français ?","Les routes sont gelées;Il y a du verglas;Les rues sont glissantes;La route est dangereuse",1
"Quelle expression signifie 'to warm up by the fire' ?","Se réchauffer au feu;Être près du feu;Profiter de la cheminée;S'asseoir près du feu",0
"Comment dit-on 'I love the smell of hot chocolate' ?","J'adore l'odeur du chocolat;Ça sent bon le chocolat;Le chocolat sent si bon;J'aime ce parfum chaud",1
"Quelle phrase exprime 'The snow is melting' en français ?","La neige fond;Le dégel commence;La neige disparaît;Il y a moins de neige",0
