question,options,correctOptionIndex
"Quelle est la traduction de 'I'm not sure if I can come' en français ?","Je ne suis pas sûr de pouvoir venir;Je ne peux pas venir;Je ne veux pas venir;Je ne sais pas si je viendrai",0
"Comment exprime-t-on 'I've been learning French for six months' en français ?","J'apprends le français depuis six mois;J'ai appris le français pendant six mois;J'apprendrai le français pour six mois;J'apprenais le français il y a six mois",0
"Quelle est la bonne façon de dire 'You shouldn't have bought me a gift' en français ?","Tu n'aurais pas dû m'acheter un cadeau;Tu ne devrais pas m'acheter un cadeau;Tu n'as pas dû m'acheter un cadeau;Tu ne dois pas m'acheter un cadeau",0
"Comment traduit-on 'I wish I could speak French fluently' en français ?","J'aimerais pouvoir parler français couramment;Je veux parler français couramment;Je parlerai français couramment;Je peux parler français couramment",0
"Que signifie l'expression française 'avoir la main verte' ?","To be good at gardening;To be environmentally friendly;To be lucky;To be inexperienced",0
"Quelle est la traduction correcte de 'He suggested that we go to the cinema' ?","Il a suggéré que nous allions au cinéma;Il a suggéré que nous sommes allés au cinéma;Il a suggéré d'aller au cinéma;Il a suggéré que nous irons au cinéma",0
"Comment dit-on 'I would have come if I had known' en français ?","Je serais venu si j'avais su;Je viendrais si je savais;Je viendrai si je sais;J'aurais venu si j'ai su",0
"Que signifie 'Je viens de rentrer du travail' ?","I've just got back from work;I'm coming back from work;I will return from work;I often return from work",0
"Comment exprime-t-on 'It's been raining all day' en français ?","Il pleut depuis ce matin;Il a plu toute la journée;Il va pleuvoir toute la journée;Il pleuvait toute la journée",0
"Que signifie 'Il faut que je m'y mette' en anglais ?","I have to get started;I must finish it;I need to leave;I should avoid it",0
"Quelle est la bonne façon de dire 'I'm used to getting up early' ?","J'ai l'habitude de me lever tôt;Je suis habitué à me lever tôt;Je m'habitue à me lever tôt;J'aime me lever tôt",0
"Comment traduit-on 'She asked me not to tell anyone' en français ?","Elle m'a demandé de ne le dire à personne;Elle m'a dit de ne pas le dire;Elle m'a fait promettre de ne rien dire;Elle m'a prié de garder le secret",0
"Quelle est la bonne façon de dire 'I've been thinking about changing jobs' en français ?","Je pense à changer de travail;J'ai pensé à changer de travail;Je vais penser à changer de travail;Je pensais à changer de travail",0
"Comment exprime-t-on 'I'm not sure what to do' en français ?","Je ne sais pas quoi faire;Je ne suis pas sûr de ce que je fais;Je ne suis pas certain de faire;Je ne sais pas ce que je ferai",0
"Que signifie l'expression française 'avoir le coup de main' ?","To have the knack for something;To give a helping hand;To be handy;To be skilled",0
"Comment dit-on 'to make up one's mind' en français ?","Se décider;Se préparer;Se souvenir;Se tromper",0
"Comment dit-on 'It's been snowing all night' en français ?","Il a neigé toute la nuit;Il neige depuis hier soir;Il va neiger cette nuit;Il neigeait hier soir",1
"Quelle phrase exprime 'I wish it would snow for Christmas' ?","J'espère qu'il neigera;Je souhaite qu'il neige;Je veux de la neige;J'aimerais de la neige",1
"Comment traduire 'We're snowed in' en français ?","Nous sommes bloqués;On est coincés par la neige;La neige nous empêche;On ne peut pas sortir",1
"Quelle expression signifie 'to catch a cold' en français ?","Attraper un rhume;Prendre froid;Tomber malade;Avoir la grippe",1
"Comment dit-on 'Let's go build a snowman' en français ?","Allons faire un bonhomme;Faisons un homme de neige;Construisons un bonhomme;Créons un bonhomme",0
"Quelle phrase exprime 'It's too cold to go out' ?","Il fait trop froid dehors;On ne peut pas sortir;C'est glacial pour sortir;Trop froid pour bouger",0
"Comment traduire 'The roads are icy' en français ?","Les routes sont gelées;Il y a du verglas;Les rues sont glissantes;La route est dangereuse",1
"Quelle expression signifie 'to warm up by the fire' ?","Se réchauffer au feu;Être près du feu;Profiter de la cheminée;S'asseoir près du feu",0
"Comment dit-on 'I love the smell of hot chocolate' ?","J'adore l'odeur du chocolat;Ça sent bon le chocolat;Le chocolat sent si bon;J'aime ce parfum chaud",1
"Quelle phrase exprime 'The snow is melting' en français ?","La neige fond;Le dégel commence;La neige disparaît;Il y a moins de neige",0
"J'aime boire un chocolat chaud quand il _____ froid dehors.","fait;est;a;devient",0
"Nous allons construire un bonhomme de _____ dans le parc.","glace;neige;sable;pierre",1
"Il faut mettre des gants pour ne pas _____ froid aux mains.","faire;avoir;être;devenir",1
"En hiver, les jours sont plus _____ que pendant l'été.","courts;longs;chauds;froids",0
"Pour ne pas glisser sur le verglas, il faut _____ doucement.","courir;sauter;marcher;tomber",2
"Les enfants aiment faire de la luge sur la _____ enneigée.","montagne;plage;rue;colline",3
"En montagne, on peut prendre le téléphérique pour _____ au sommet.","descendre;aller;monter;skier",2
"Quand il neige, on peut faire des anges de _____ par terre.","boue;sable;neige;herbe",2
"Il faut bien se couvrir avant de _____ dehors en hiver.","aller;sortir;entrer;venir",1
"Les arbres perdent leurs _____ pendant la saison froide.","branches;racines;feuilles;fruits",2
"Pour patiner, il faut aller à la patinoire de _____.","sable;neige;glace;eau",2
"Le ski est un sport d'hiver _____ en montagne.","détesté;ennuyeux;populaire;difficile",2
"En décembre, les décorations de Noël _____ les rues.","cachent;illuminent;bloquent;salissent",1
"On met du sel sur les routes pour faire _____ la neige.","tomber;fondre;geler;briller",1
"Attention aux avalanches de neige quand vous _____ en montagne.","nagez;marchez;dormez;skiez",3
"Pour faire du patin à glace, il faut une surface _____.","rugueuse;gelée;chaude;molle",1
"Le mistral est un vent _____ qui souffle en hiver.","chaud;humide;froid;doux",2
"On boit souvent du vin chaud pendant les _____ d'hiver.","repas;fêtes;journées;matinées",1
"En hiver, on peut voir son souffle quand on _____ dehors.","mange;court;respire;dort",2
"En hiver, on aime se réchauffer avec une _____ de chocolat chaud.","tasse;verre;bouteille;assiette",0
"Les enfants adorent faire de la luge sur les _____ enneigées.","routes;collines;plages;forêts",1
"Pour ne pas avoir froid aux pieds, on porte des _____ en laine.","gants;écharpes;chaussettes;bonnets",2
"En montagne, on peut admirer de magnifiques _____ de glace.","rivières;lacs;cascades;océans",2
"Quand il neige beaucoup, les écoles sont parfois _____.","ouvertes;fermées;chaudes;froides",1
"Le _____ est un animal qui s'adapte bien au froid hivernal.","lion;éléphant;pingouin;girafe",2
"Pour faire du ski, on a besoin de _____ spéciales.","chaussures;lunettes;vêtements;gants",0
"En hiver, le soleil se couche _____ que pendant l'été.","plus tard;plus tôt;plus lentement;plus vite",1
"Les _____ sont des chaussures parfaites pour marcher dans la neige.","sandales;bottes;baskets;tongs",1
"Pendant les vacances d'hiver, beaucoup de gens vont à la _____.","plage;montagne;campagne;ville",1
"Le _____ est un sport de glisse qui se pratique sur la neige.","football;tennis;ski;natation",2
"En hiver, il faut faire attention au _____ sur les routes.","sable;verglas;gravier;goudron",1
"Les _____ sont des vêtements chauds qu'on porte en hiver.","maillots de bain;shorts;pulls;t-shirts",2
"Quand il fait très froid, on peut voir son _____ en respirant.","ombre;reflet;souffle;visage",2
"Pour ne pas glisser sur la glace, il faut marcher _____.","vite;lentement;fort;bruyamment",1
"En hiver, certains animaux entrent en _____.","vacances;hibernation;migration;reproduction",1
"Le _____ est un vent froid qui souffle souvent en hiver.","sirocco;mistral;alizé;harmattan",1
"Pour faire un bonhomme de neige, on a besoin d'une _____ pour le nez.","carotte;pomme;banane;poire",0
"En montagne, on peut prendre le _____ pour monter au sommet.","bus;train;téléphérique;avion",2
"Les _____ sont des précipitations typiques de l'hiver.","orages;pluies;flocons de neige;grêlons",2
"Pour se protéger du froid, on met souvent une _____ autour du cou.","ceinture;cravate;écharpe;corde",2
"En hiver, les jours sont plus _____ et les nuits plus longues.","chauds;longs;courts;lumineux",2
"Le _____ est un sport où l'on glisse sur la glace.","ski;snowboard;patinage;luge",2
"Quand il neige, les enfants aiment faire des _____ de neige.","châteaux;maisons;anges;bonhommes",2
"En hiver, il faut bien se _____ avant de sortir dehors.","laver;couvrir;réveiller;coucher",1
"Les _____ de Noël illuminent les rues en décembre.","cadeaux;décorations;arbres;chansons",1
"On met du sel sur les routes pour faire _____ la neige.","tomber;fondre;geler;briller",1
"Le _____ est un animal qui hiberne pendant l'hiver.","renard;ours;lapin;écureuil",1
"En montagne, attention aux _____ de neige qui peuvent être dangereuses.","tempêtes;chutes;avalanches;montagnes",2
"Pour faire du patin à glace, il faut une surface _____.","rugueuse;gelée;chaude;molle",1
"Les _____ sont des chaussures chaudes et imperméables pour l'hiver.","sandales;bottes;baskets;tongs",1
"On boit souvent du vin _____ pendant les fêtes d'hiver.","blanc;rouge;chaud;froid",2
"Les skieurs débutants commencent sur les pistes _____.","noires;rouges;bleues;vertes",3
"En hiver, on peut voir son _____ quand on respire dehors.","ombre;reflet;souffle;visage",2
"Le _____ de Noël est souvent un sapin décoré.","gâteau;cadeau;repas;arbre",3
"La neige _____ quand on marche dessus.","fond;craque;brille;tombe",1
"Dans une station de ski, on prend le _____ pour monter en haut des pistes.","téléski;autobus;train;voiture",0
"Quand il fait très froid, on dit qu'il _____.","pleut;neige;vente;gèle",3
"Pour se réchauffer, on boit souvent un _____ chaud.","café;jus;eau;soda",0
"En hiver, on porte un manteau pour se protéger du _____.","soleil;froid;vent;bruit",1
"La neige est généralement de couleur _____.","rouge;bleue;verte;blanche",3
"Pour faire du ski, on a besoin de _____.","raquettes;patins;skis;rollers",2
"En hiver, l'eau peut se transformer en _____.","vapeur;glace;gaz;liquide",1
"Les ours hibernent pendant la saison _____.","chaude;froide;pluvieuse;venteuse",1
"Pour se réchauffer, on boit souvent du chocolat _____.","froid;glacé;tiède;chaud",3
"En décembre, on décore souvent un _____ de Noël.","palmier;cactus;sapin;bananier",2
"Les flocons de _____ tombent du ciel en hiver.","pluie;neige;grêle;sable",1
"Pour patiner, on va à la _____ de glace.","piscine;plage;patinoire;montagne",2
"En hiver, les jours sont plus _____ que l'été.","longs;courts;chauds;ensoleillés",1
"On met des _____ pour protéger ses mains du froid.","chaussettes;gants;chapeaux;ceintures",1
"Le bonhomme de neige a souvent une carotte comme _____.","bouche;oreille;nez;œil",2
"En montagne, on peut prendre le _____ pour monter.","bus;train;téléphérique;taxi",2
"Les pingouins vivent dans des régions très _____.","chaudes;froides;humides;sèches",1
"Pour ne pas glisser sur la glace, il faut marcher _____.","vite;lentement;fort;bruyamment",1
"En hiver, certains animaux entrent en _____.","vacances;hibernation;colère;danse",1
"Le _____ est un sport d'hiver populaire.","football;tennis;ski;natation",2
"Quand il fait très froid, on peut voir son _____ en respirant.","ombre;reflet;souffle;visage",2
"Les _____ sont des chaussures chaudes pour l'hiver.","sandales;bottes;baskets;tongs",1
"En hiver, il faut bien se _____ avant de sortir.","déshabiller;laver;couvrir;maquiller",2
"La _____ tombe en flocons blancs du ciel.","pluie;neige;grêle;brume",1
"Pour faire un bonhomme de neige, on a besoin de _____.","sable;terre;neige;eau",2
"En hiver, les arbres perdent leurs _____.","racines;troncs;feuilles;branches",2
"Le _____ est un animal qui hiberne en hiver.","lion;ours;singe;girafe",1
"On met une _____ autour du cou pour se protéger du froid.","ceinture;cravate;écharpe;montre",2
"Les sports d'hiver se pratiquent généralement à la _____.","plage;montagne;campagne;ville",1
"En hiver, on peut faire de la luge sur une _____ enneigée.","route;colline;plage;rivière",1
"Pour ne pas avoir froid aux pieds, on porte des _____ chaudes.","chaussettes;gants;ceintures;cravates",0
"Le _____ est un vent froid qui souffle en hiver.","mistral;sirocco;alizé;harmattan",0
"En hiver, les oiseaux migrateurs volent vers des pays plus _____.","froids;chauds;grands;petits",1
"Pour faire du patin à glace, il faut une surface _____.","rugueuse;gelée;chaude;molle",1
"Les _____ de Noël illuminent les rues en décembre.","voitures;arbres;décorations;animaux",2
"En montagne, attention aux _____ de neige dangereuses.","vagues;tempêtes;avalanches;tornades",2
"Le _____ est souvent utilisé pour mesurer la température.","baromètre;thermomètre;chronomètre;altimètre",1
"En hiver, on peut voir des _____ de glace sur les toits.","feuilles;fleurs;stalactites;branches",2
"Pour se protéger du froid, on porte un _____ sur la tête.","pantalon;bonnet;bracelet;collier",1
"Les skieurs débutants commencent sur les pistes _____.","noires;rouges;bleues;vertes",3
"En hiver, le sol peut être glissant à cause du _____.","sable;verglas;gravier;goudron",1
"Pour faire fondre la neige sur les routes, on utilise du _____.","sucre;sel;poivre;café",1
