question,options,correctOptionIndex
"Quelle expression utilise-t-on pour exprimer son accord ?","Je suis d'accord;Je ne suis pas sûr;Je n'aime pas;Je ne comprends pas",0,"'Je suis d'accord' means 'I agree' and is used to express agreement."
"Which phrase means 'I couldn't care less'?","Je m'en fiche;Je m'en souviens;Je m'en vais;Je m'en occupe",0,"'Je m'en fiche' is an informal way to say 'I don't care' or 'I couldn't care less'."
"Comment exprime-t-on l'enthousiasme en français ?","Je suis emballé;Je suis déprimé;Je suis fatigué;Je suis stressé",0,"'Je suis emballé' means 'I am excited' or 'I am thrilled' and expresses enthusiasm."
"Fill in the blank: Il _____ que tu aies raison.","se peut;se peux;se peuvent;se pouvez",0,"'Il se peut que' means 'It's possible that' and expresses possibility. It's followed by the subjunctive mood."
"Quelle expression signifie 'It seems to me'?","Il me semble;Je pense;Je crois;À mon avis",0,"'Il me semble' means 'It seems to me' and is used to express a personal impression."
"Fill in the blank: Je suis _____ que tu aies réussi ton examen.","ravi;ravie;ravis;ravies",0,"'Je suis ravi(e)' means 'I am delighted'. Use 'ravi' for masculine and 'ravie' for feminine."
"How do you say 'I'm fed up' in French?","J'en ai marre;Je suis fatigué;Je suis ennuyé;Je suis déçu",0,"'J'en ai marre' is an informal way to say 'I'm fed up' or 'I've had enough'."
"Quelle phrase exprime le soulagement ?","Je suis soulagé;Je suis stressé;Je suis inquiet;Je suis anxieux",0,"'Je suis soulagé' means 'I am relieved' and expresses relief."
"Fill in the blank: À mon _____, ce n'est pas une bonne idée.","sens;avis;opinion;idée",0,"Both 'sens' and 'avis' are correct. 'À mon sens' and 'À mon avis' both mean 'In my opinion'."
"Which phrase means 'I wonder'?","Je me demande;Je pense;Je crois;Je sais",0,"'Je me demande' means 'I wonder' and is used to express curiosity or uncertainty."
"Comment dit-on 'I'm looking forward to' en français ?","J'ai hâte de;J'espère;Je souhaite;J'attends",0,"'J'ai hâte de' means 'I'm looking forward to' and expresses anticipation."
"Fill in the blank: Je suis _____ de votre décision.","déçu;déçue;déçus;déçues",0,"'Je suis déçu(e)' means 'I am disappointed'. Use 'déçu' for masculine and 'déçue' for feminine."
"Quelle expression signifie 'As far as I'm concerned'?","En ce qui me concerne;À mon avis;Je pense que;D'après moi",0,"'En ce qui me concerne' means 'As far as I'm concerned' and is used to give a personal perspective."
"How do you express doubt in French?","Je doute que;Je suis sûr que;Je pense que;Je crois que",0,"'Je doute que' means 'I doubt that' and expresses doubt. It's followed by the subjunctive mood."
"Fill in the blank: Il est _____ que nous finissions à temps.","peu probable;certain;sûr;évident",0,"'Il est peu probable que' means 'It is unlikely that' and expresses low probability. It's followed by the subjunctive mood."
"Which phrase expresses annoyance?","Ça m'agace;Ça me plaît;Ça m'amuse;Ça m'intéresse",0,"'Ça m'agace' means 'It annoys me' and expresses irritation or annoyance."
"Comment exprime-t-on l'inquiétude en français ?","Je suis inquiet;Je suis content;Je suis ravi;Je suis amusé",0,"'Je suis inquiet' means 'I am worried' and expresses concern or anxiety."
"Fill in the blank: Je _____ impressionné par son talent.","suis;es;est;sommes",0,"'Je suis impressionné' means 'I am impressed' and expresses admiration."
"How do you say 'I couldn't agree more' in French?","Je suis tout à fait d'accord;Je ne suis pas d'accord;Je suis un peu d'accord;Je ne sais pas",0,"'Je suis tout à fait d'accord' means 'I completely agree' or 'I couldn't agree more'."
"Quelle expression signifie 'I have the impression that'?","J'ai l'impression que;Je pense que;Je crois que;Je suis sûr que",0,"'J'ai l'impression que' means 'I have the impression that' and is used to express a personal feeling or perception."
"Fill in the blank: Je suis _____ de te voir.","content;contente;contents;contentes",0,"'Je suis content(e)' means 'I am happy'. Use 'content' for masculine and 'contente' for feminine."
"Which phrase expresses indecision?","J'hésite;Je suis sûr;Je sais;Je décide",0,"'J'hésite' means 'I'm hesitating' or 'I'm undecided' and expresses indecision."
"Comment dit-on 'I can't stand it' en français ?","Je ne supporte pas;J'adore;Je tolère;J'accepte",0,"'Je ne supporte pas' means 'I can't stand it' or 'I can't bear it' and expresses strong dislike or intolerance."
"Fill in the blank: Il me _____ important de dire la vérité.","semble;sembles;semblent;semblez",0,"'Il me semble important' means 'It seems important to me' and is used to express a personal opinion."
"Quelle expression signifie 'I'm not convinced'?","Je ne suis pas convaincu;Je suis sûr;Je suis certain;Je suis persuadé",0,"'Je ne suis pas convaincu' means 'I'm not convinced' and expresses doubt or skepticism."
"How do you express enthusiasm in French?","Je suis enthousiaste;Je suis triste;Je suis fatigué;Je suis ennuyé",0,"'Je suis enthousiaste' means 'I am enthusiastic' and expresses excitement or keen interest."
"Fill in the blank: À ce qu'il _____, le film est excellent.","paraît;parais;paraissent;paraissez",0,"'À ce qu'il paraît' means 'It seems' or 'Apparently' and is used to report information that is not certain."
"Which phrase means 'I'm not sure'?","Je ne suis pas sûr;Je suis certain;Je sais;Je suis convaincu",0,"'Je ne suis pas sûr' means 'I'm not sure' and expresses uncertainty."
"Comment exprime-t-on la frustration en français ?","Je suis frustré;Je suis satisfait;Je suis content;Je suis ravi",0,"'Je suis frustré' means 'I am frustrated' and expresses frustration or dissatisfaction."
"Fill in the blank: Je _____ que tu as fait de ton mieux.","comprends;comprend;comprenons;comprenez",0,"'Je comprends que' means 'I understand that' and is used to express comprehension or empathy."
"How do you say 'I'm touched' in French?","Je suis touché;Je suis frappé;Je suis blessé;Je suis atteint",0,"'Je suis touché' means 'I'm touched' or 'I'm moved' and expresses emotional impact."
"Quelle expression signifie 'I couldn't care less'?","Je m'en fiche;Je m'en souviens;Je m'en vais;Je m'en occupe",0,"'Je m'en fiche' is an informal way to say 'I don't care' or 'I couldn't care less'."
"Fill in the blank: Je suis _____ de votre générosité.","reconnaissant;reconnaissante;reconnaissants;reconnaissantes",0,"'Je suis reconnaissant(e)' means 'I am grateful'. Use 'reconnaissant' for masculine and 'reconnaissante' for feminine."
"Which phrase expresses astonishment?","Je suis stupéfait;Je suis calme;Je suis indifférent;Je suis préparé",0,"'Je suis stupéfait' means 'I am astonished' or 'I am amazed' and expresses great surprise."
