- question: "¿Dónde está la biblioteca?"
  options:
  explanation: "'Siga recto' means 'go straight' in Spanish."

- question: "What does 'manzana' mean in the context of a city?"
  options:
    - "Block"
    - "Apple"
    - "Square"
    - "Building"
  correctOptionIndex: 0
  explanation: "'Manzana' means 'block' in the context of city navigation."

- question: "El supermercado está ___ la calle del banco."
  options:
    - "en"
    - "a"
    - "por" 
    - sobre
  
correctOptionIndex :2
explanation : "'Por' is used here to mean 'down' or 'along' the street."

- question : ¿Cuál es la traducción de ‘crosswalk’?
  options :
  – Paso de peatones
  – Cruce de calles
  – Semáforo
  – Acera
correctOptionIndex :0
explanation : ‘Paso de peatones’ is the Spanish term for ‘crosswalk’.

- question : La parada de autobús está ___ la esquina.
options :
   – a
   – en
   – de
   – por
correctOptionIndex :1
explanation : ‘En’ is used to indicate ‘on’ the corner.

- question : What is the meaning of ‘doblar’?
options :
   – To turn
   – To cross
   – To go straight
   – To stop
correctOptionIndex :0
explanation : ‘Doblar’ means ‘to turn’ in the context of directions.

- question : ¿Cómo se dice ‘one-way street’ en español?
options :
   – Calle de sentido único
   – Calle principal
   – Calle peatonal
   – Calle cerrada
correctOptionIndex :0
explanation : ‘Calle de sentido único’ means ‘one-way street’ in Spanish.

- question : El restaurante está ___ la derecha del banco.
options :
   – a
   – en
   – de
   – por
correctOptionIndex :0
explanation : ‘A’ is used here to mean ‘on the right of’.

- question : ¿Qué significa ‘acera’?
options :
   – Sidewalk
   – Street
   – Road
   – Highway
correctOptionIndex :0
explanation : ‘Acera’ means ‘sidewalk’ in Spanish.

- question : La plaza está ___ el centro de la ciudad.
options :
   –en 
   –a 
   –de 
   –por 
correctOptionIndex :0 
explanation : ‘En’ is used to indicate ‘in’ the center of the city.

- question : What is the Spanish word for ‘map’?
options :
   –Mapa 
   –Carta 
   –Plano 
   –Guía 
correctOptionIndex :0 
explanation : ‘Mapa’ is the Spanish word for ‘map.’

- question : ¿Cómo se pregunta ‘Is it far from here?’?
options :
   –¿Está lejos de aquí? 
   –¿Dónde está? 
   –¿Cuánto tiempo tarda? 
   –¿Cómo llego allí? 
correctOptionIndex :0 
explanation : ‘¿Está lejos de aquí?’ means ‘Is it far from here?’ in Spanish.

- question : El hotel está ___ la calle principal.
options :
   –en 
   –a 
   –de 
   –sobre 
correctOptionIndex :0 
explanation : ‘En’ is used to indicate ‘on’ the main street.

- question : ¿Cuál es la traducción de ‘traffic jam’?
options :
   –Embotellamiento 
   –Accidente 
   –Desvío 
   –Señal 
correctOptionIndex :0 
explanation : ‘Embotellamiento’ is the Spanish term for ‘traffic jam.’

- question :"Para llegar al museo, gire ___ la segunda calle."
options :
     -"en"  
     -"a"  
     -"por"  
     -"de"  
correctOptionIndex :1  
explanation :"‘A’ is used here to mean ‘at’ the second street." 

- question :"What does ‘esquina’ mean?"  
options :
     -"Corner"  
     -"Square"  
     -"Intersection"  
     -"Roundabout"  
correctOptionIndex :0  
explanation :"‘Esquina’ means ‘corner’ in Spanish." 

- question :"La estación de policía está ___ del ayuntamiento."  
options :
     -"cerca"  
     -"lejos"  
     -"dentro"  
     -"fuera"  
correctOptionIndex :0  
explanation :"‘Cerca’ means ‘near’ or ‘close to.’" 

- question :"¿Cómo se dice ‘pedestrian street’ en español?"  
options :
     -"Calle peatonal"  
     -"Calle principal"  
     -"Calle de sentido único"  
     -"Calle cerrada"  
correctOptionIndex :0   
explanation :"‘Calle peatonal’ means ‘pedestrian street’ in Spanish." 

- question :"El parque está ___ cinco minutos a pie."   
options :
     -"a"   
     -"en"   
     -"de"   
     -"por"   
correctOptionIndex :0   
explanation :"‘A’ is used here to indicate ‘at’ or ‘within’ five minutes walking distance." 

- question :"What is the meaning of ‘cuadra’?"    
options :
     -"Block"    
     -"Square"    
     -"Street"    
     -"Neighborhood"    
correctOptionIndex :0    
explanation :"‘Cuadra’ typically means ‘block’ in the context of city navigation." 

- question :"¿Cuál es la palabra para ‘downtown’?"     
options :
      -"Centro"     
      -"Suburbio"     
      -"Afueras"     
      -"Barrio"     
correctOptionIndex :0     
explanation :"‘Centro’ is commonly used to refer to ‘downtown’ in Spanish." 

- question :"La biblioteca está ___ la tercera planta."      
options :
      -"en"      
      -"a"      
      -"de"      
      -"por"      
correctOptionIndex :0      
explanation :"‘En’ is used to indicate ‘on’ the third floor." 

- question :"How do you say ‘turn left at the traffic light’? "
options :
      -"Gire a la izquierda en el semáforo"      
      -"Cruce en el semáforo"      
      -"Siga recto en el semáforo"      
      -"Pare en el semáforo"      
correctOptionIndex :0      
explanation :"‘Gire a la izquierda en el semáforo‘ means ’turn left at the traffic light.’ "

- question :"El cine está ___ dos kilómetros del centro."     
options :
      -"a"     
      -"en"     
      -"de"     
      -"por"     
correctOptionIndex :0     
explanation :"‘A‘ is used to indicate distance, meaning ’at‘ two kilometers from the center." 

- question :"¿Qué significa ’callejón’? "
options :
      -"Alley"    
      -"Avenue"    
      -"Boulevard"    
      -"Highway"    
correctOptionIndex :0    
explanation :"‘Callejón‘ means ’alley‘ in Spanish." 

- question :"Para llegar al estadio, tome la segunda ___ a la derecha."    
options :
      -"calle"    
      -"avenida"    
      -"carretera"    
      -"salida"    
correctOptionIndex :0    
explanation :"‘Calle‘ (street) is the most appropriate word in this context." 

- question :"What is the Spanish word for ’landmark’? "
options :
      -"Punto de referencia"    
      -"Señal"    
      -"Monumento"    
      -"Atracción"    
correctOptionIndex :0    
explanation :"‘Punto de referencia‘ is the Spanish term for ’landmark.’ "

- question :"El aeropuerto está ___ las afueras de la ciudad."   
  options :
       "- en "
       "- a "
       "- de "
       "- por "
correctOptionIndex :-1   
explanation :-"'En'is used here to mean'on'the outskirts ofthe city.'"

- question:"¿Cómo se dice'shortcut'en español?"   
options:
- Atajo
- Desvío
- Ruta
- Camino   
correctoptionindex:-1,   
explanation:-"'Atajo'is thespanishwordfor'shortcut.'"
