question,options,correctOptionIndex
"Come si dice 'to miss' un treno o un volo in italiano?","Perdere;Saltare;Dimenticare;Cancellare",0,"'Perdere' means 'to miss' in the context of missing a train or flight."
"Qual è la parola italiana per 'suitcase'?","Borsa;Zaino;Valigia;Sacchetto",2,"'Valigia' is the Italian word for 'suitcase'."
"Per viaggiare all'estero, ho bisogno del ________.",Passaporto,"'Passaporto' (passport) is typically required for international travel."
"Come si chiede se c'è un posto libero su un mezzo di trasporto?","È occupato questo posto?;C'è un posto libero?;Posso sedermi qui?;All of the above",3,"All options are valid ways to ask if a seat is available."
"Quale di questi NON è un tipo di biglietto?","Andata;Ritorno;Andata e ritorno;Partenza",3,"'Partenza' (departure) is not a type of ticket."
"Come si dice 'map' in italiano?","Carta;Mappa;Disegno;Both A and B",3,"Both 'carta' and 'mappa' can be used to mean 'map' in Italian."
"Qual è il termine italiano per 'boarding pass'?","Carta d'imbarco;Biglietto aereo;Passaporto;Visto",0,"'Carta d'imbarco' is the Italian term for 'boarding pass'."
"Come si chiede l'ubicazione di una fermata dell'autobus?","Dov'è la fermata dell'autobus?;Quando passa l'autobus?;Quale autobus devo prendere?;Quanto costa l'autobus?",0,"'Dov'è la fermata dell'autobus?' means 'Where is the bus stop?'"
"Quale di questi è un sinonimo di 'biglietteria'?","Ristorante;Bagno;Sala d'attesa;Botteghino",3,"'Botteghino' is a synonym for 'biglietteria' (ticket office)."
"Il mio volo ha due ore di ________.",Ritardo,"'Ritardo' means 'delay' in Italian."
"Come si dice 'to cancel' una prenotazione in italiano?","Confermare;Modificare;Disdire;Pagare",2,"'Disdire' means 'to cancel' a reservation in Italian."
"Qual è la parola italiana per 'delay'?","Ritardo;Anticipo;Orario;Partenza",0,"'Ritardo' is the Italian word for 'delay'."
"Come si chiede se un treno è diretto o se bisogna cambiare?","È un treno diretto?;Devo cambiare treno?;Dove va questo treno?;Both A and B",3,"Both A and B are valid ways to ask if a train is direct or if you need to change."
"Quale di questi NON è un tipo di alloggio per viaggiatori?","Hotel;Ostello;Campeggio;Ristorante",3,"'Ristorante' (restaurant) is not a type of accommodation for travelers."
"Il treno per Roma parte dal ________ 5.",Binario,"'Binario' means 'platform' in a train station context."
"Come si dice 'travel agency' in italiano?","Agenzia di viaggi;Ufficio turistico;Centro viaggi;Negozio di viaggi",0,"'Agenzia di viaggi' means 'travel agency' in Italian."
"Qual è il termine italiano per 'check-in'?","Registrazione;Partenza;Arrivo;Controllo",0,"'Registrazione' is the Italian term for 'check-in'."
"Come si chiede il binario di partenza di un treno?","Da quale binario parte il treno?;Quando parte il treno?;Dove va il treno?;Che tipo di treno è?",0,"'Da quale binario parte il treno?' means 'From which platform does the train depart?'"
"Devo ________ un taxi per andare all'hotel.",Chiamare,"'Chiamare' (to call) is commonly used when you need to get a taxi."
"Quale di questi è un sinonomo di 'volo'?","Viaggio;Tratta aerea;Crociera;Gita",1,"'Tratta aerea' is a synonym for 'volo' (flight)."
"Come si dice 'to book' un hotel in italiano?","Prenotare;Comprare;Affittare;Visitare",0,"'Prenotare' means 'to book' in Italian, including for hotel reservations."
"Qual è la parola italiana per 'ticket inspector'?","Conducente;Controllore;Cassiere;Receptionist",1,"'Controllore' is the Italian word for 'ticket inspector'."
"Ho ________ il volo perché sono arrivato in ritardo all'aeroporto.",Perso,"'Perso' (missed) is used when you fail to catch a flight due to being late."
"Come si chiede se è necessario prenotare in anticipo?","È necessario prenotare?;Posso prenotare ora?;Quando devo prenotare?;All of the above",3,"All options are valid ways to ask about the need for advance booking."
"Quale documento NON è necessario per un viaggio domestico in Italia?","Carta d'identità;Patente di guida;Passaporto;Biglietto",2,"A 'passaporto' (passport) is typically not required for domestic travel in Italy."
"Come si dice 'lost and found' in italiano?","Oggetti smarriti;Cose perse;Ufficio perdite;Centro ritrovamenti",0,"'Oggetti smarriti' is the Italian phrase for 'lost and found'."
"Qual è il termine italiano per 'gate' in un aeroporto?","Porta;Cancello;Uscita;Gate",1,"'Cancello' is the Italian term for 'gate' in an airport context."
"Come si chiede se c'è un deposito bagagli?","C'è un deposito bagagli?;Dove posso lasciare i bagagli?;Avete un guardaroba?;All of the above",3,"All options are valid ways to ask about luggage storage."
"Quale di questi NON è un tipo di biglietto per il trasporto pubblico?","Biglietto singolo;Abbonamento;Biglietto giornaliero;Biglietto di classe",3,"'Biglietto di classe' is not a typical type of public transport ticket."
