question,options,correctOptionIndex
"Noi andiamo al mare _____ estate.","in;a;per;con",0
"Loro _____ guardare la televisione la sera.","amano;odiano;preferiscono;vogliono",0
"Io _____ italiano da due anni.","parlo;studio;insegno;imparo",1
"Il mio compleanno è _____ 15 marzo.","il;in;a;per",0
"Questa sera vado al ristorante _____ i miei amici.","per;da;con;a",2
"Scusi, _____ mi dire dov'è la stazione?","puoi;può;posso;possono",1
"Io _____ alzarmi presto ogni mattina.","devo;voglio;posso;so",0
"Lei _____ molto bene l'inglese.","parla;parlare;parlando;parlato",0
"Noi _____ in Italia da tre mesi.","siamo;abbiamo;viviamo;andiamo",2
"Quanto _____ questo libro?","costa;paga;vale;spende",0
"Mi piace _____ musica nel tempo libero.","ascoltare;sentire;guardare;vedere",0
"Loro _____ in vacanza due volte all'anno.","vanno;vengono;partono;arrivano",0
"Io _____ una pizza margherita, per favore.","voglio;vorrei;volevo;vorrò",1
"Lui _____ sempre la colazione al bar.","fa;prende;mangia;beve",1
"Noi _____ andare al cinema stasera.","voliamo;vogliamo;veniamo;andiamo",1
"Che lavoro _____ tuo padre?","fa;è;ha;sta",0
"Mi piace molto la cucina _____.","italiana;italiano;italiane;italiani",0
"Io _____ a Roma da cinque anni.","vivo;abito;sono;sto",1
"Loro _____ molto felici di vederti.","sono;stanno;hanno;fanno",0
"Scusi, _____ parlare più lentamente per favore?","puoi;può;posso;potete",1
"Noi _____ al ristorante ogni sabato sera.","andiamo;venimo;siamo;stiamo",0
"Lei _____ sempre vestiti molto eleganti.","porta;veste;indossa;mette",2
"Io _____ il treno per andare al lavoro.","prendo;vado;uso;salgo",0
"Quanto tempo _____ per arrivare in centro?","ci vuole;serve;passa;occorre",0
"Mi piace _____ una passeggiata la domenica mattina.","fare;andare;prendere;camminare",0
"Loro _____ in palestra tre volte alla settimana.","vanno;vengono;corrono;giocano",0
"Io _____ il mio compleanno il prossimo mese.","celebro;festeggio;ricordo;compio",1
"Noi _____ italiano due volte alla settimana.","studiamo;impariamo;insegniamo;parliamo",0
"Lei _____ sempre la colazione a letto.","mangia;beve;fa;prende",2
"Mi piace _____ la televisione la sera.","vedere;guardare;osservare;controllare",1
"Loro _____ in vacanza in Sicilia l'estate scorsa.","sono andati;hanno andato;sono stati;hanno stato",0
"Io _____ la spesa al supermercato ogni lunedì.","compro;faccio;prendo;vado",1
"Noi _____ molto contenti di conoscerti.","siamo;stiamo;abbiamo;facciamo",0
"Quanto _____ da qui alla stazione centrale?","è;c'è;ci vuole;dista",3
"Mi chiamo Paolo e _____ italiano.","sono;sei;è;siamo",0
"Oggi fa molto _____ e c'è il sole.","freddo;caldo;vento;pioggia",1
"Mi piace mangiare la pasta al _____.","sale;pepe;pomodoro;formaggio",2
"Io _____ il caffè tutte le mattine.","mangio;bevo;cucino;compro",1
"La mia amica _____ in un ufficio a Roma.","studia;lavora;vive;viaggia",1
"Noi andiamo al mare _____ estate.","in;a;per;con",0
"Loro _____ guardare la televisione la sera.","amano;odiano;preferiscono;vogliono",0
"Io _____ italiano da due anni.","parlo;studio;insegno;imparo",1
"Il mio compleanno è _____ 15 marzo.","il;in;a;per",0
"Questa sera vado al ristorante _____ i miei amici.","per;da;con;a",2
"Scusi, _____ mi dire dov'è la stazione?","puoi;può;posso;possono",1
"Io _____ alzarmi presto ogni mattina.","devo;voglio;posso;so",0
"Lei _____ molto bene l'inglese.","parla;parlare;parlando;parlato",0
"Noi _____ in Italia da tre mesi.","siamo;abbiamo;viviamo;andiamo",2
"Quanto _____ questo libro?","costa;paga;vale;spende",0
"Mi piace _____ musica nel tempo libero.","ascoltare;sentire;guardare;vedere",0
"Loro _____ in vacanza due volte all'anno.","vanno;vengono;partono;arrivano",0
"Io _____ una pizza margherita, per favore.","voglio;vorrei;volevo;vorrò",1
"Lui _____ sempre la colazione al bar.","fa;prende;mangia;beve",1
"Noi _____ andare al cinema stasera.","voliamo;vogliamo;veniamo;andiamo",1
"Che lavoro _____ tuo padre?","fa;è;ha;sta",0
"Mi piace molto la cucina _____.","italiana;italiano;italiane;italiani",0
"Io _____ a Roma da cinque anni.","vivo;abito;sono;sto",1
"Loro _____ molto felici di vederti.","sono;stanno;hanno;fanno",0
"Scusi, _____ parlare più lentamente per favore?","puoi;può;posso;potete",1
"Noi _____ al ristorante ogni sabato sera.","andiamo;venimo;siamo;stiamo",0
"Lei _____ sempre vestiti molto eleganti.","porta;veste;indossa;mette",2
"Io _____ il treno per andare al lavoro.","prendo;vado;uso;salgo",0
"Quanto tempo _____ per arrivare in centro?","ci vuole;serve;passa;occorre",0
"Mi piace _____ una passeggiata la domenica mattina.","fare;andare;prendere;camminare",0
"Loro _____ in palestra tre volte alla settimana.","vanno;vengono;corrono;giocano",0
"Io _____ il mio compleanno il prossimo mese.","celebro;festeggio;ricordo;compio",1
"Noi _____ italiano due volte alla settimana.","studiamo;impariamo;insegniamo;parliamo",0
"Lei _____ sempre la colazione a letto.","mangia;beve;fa;prende",2
"Mi piace _____ la televisione la sera.","vedere;guardare;osservare;controllare",1
"Loro _____ in vacanza in Sicilia l'estate scorsa.","sono andati;hanno andato;sono stati;hanno stato",0
"Io _____ la spesa al supermercato ogni lunedì.","compro;faccio;prendo;vado",1
"Noi _____ molto contenti di conoscerti.","siamo;stiamo;abbiamo;facciamo",0
"Quanto _____ da qui alla stazione centrale?","è;c'è;ci vuole;dista",3
